,timestamp,location_id,device_id,variable1,variable2,variable3,variable4,variable5
41,2020-07-01 01:29:57,10,3,1.608,0.089,0.193,0.097,59.45
42,2020-07-01 01:30:05,10,1,1.297,0.071,0.167,0.15,53.2
43,2020-07-01 01:30:06,10,5,2.25,0.092,0.131,0.103,53.08
44,2020-07-01 01:30:06,10,2,1.674,0.067,0.195,0.093,55.32
45,2020-07-01 01:39:56,10,4,1.234,0.089,0.131,0.18,53.73
46,2020-07-01 01:39:58,10,3,2.296,0.061,0.194,0.11,51.88
47,2020-07-01 01:40:02,10,5,1.277,0.083,0.173,0.203,58.87
48,2020-07-01 01:40:03,10,2,1.869,0.076,0.206,0.113,61.22
49,2020-07-01 01:40:04,10,1,1.624,0.075,0.23,0.173,57.37
50,2020-07-01 01:49:57,10,4,1.868,0.092,0.177,0.093,60.97
51,2020-07-01 01:49:58,10,3,1.75,0.116,0.161,0.14,54.25
52,2020-07-01 01:50:06,10,2,1.641,0.084,0.122,0.207,54.26
53,2020-07-01 01:50:07,10,5,1.801,0.083,0.121,0.18,52.22
54,2020-07-01 01:50:07,10,1,1.521,0.097,0.198,0.137,58.12
55,2020-07-01 02:00:01,10,4,1.663,0.095,0.138,0.073,59.71
56,2020-07-01 02:00:02,10,3,1.14,0.06,0.101,0.163,53.17
57,2020-07-01 02:00:02,10,5,1.419,0.094,0.146,0.093,53.19
58,2020-07-01 02:00:03,10,2,1.998,0.064,0.136,0.157,57.41
59,2020-07-01 02:00:11,10,1,1.543,0.077,0.131,0.143,57.24
60,2020-07-01 02:10:00,10,4,1.637,0.074,0.19,0.193,59.46
61,2020-07-01 02:10:05,10,3,1.458,0.077,0.165,0.14,58.07
62,2020-07-01 02:10:07,10,2,1.55,0.084,0.162,0.157,53.92
63,2020-07-01 02:10:07,10,5,1.829,0.114,0.182,0.157,58.96
64,2020-07-01 02:10:14,10,1,1.247,0.097,0.143,0.17,52.43
65,2020-07-01 02:20:01,10,4,1.317,0.084,0.102,0.197,54.72
66,2020-07-01 02:20:03,10,2,1.822,0.062,0.181,0.097,56.26
67,2020-07-01 02:20:04,10,5,1.377,0.081,0.127,0.15,56.49
68,2020-07-01 02:20:08,10,3,1.398,0.067,0.164,0.11,56.47
69,2020-07-01 02:20:16,10,1,1.315,0.091,0.208,0.147,55.61
70,2020-07-01 02:29:58,10,2,2.042,0.051,0.185,0.107,56.44
71,2020-07-01 02:29:58,10,4,1.514,0.08,0.121,0.133,58.96
72,2020-07-01 02:30:06,10,5,2.249,0.071,0.102,0.107,61.45
73,2020-07-01 02:30:10,10,3,1.707,0.066,0.179,0.187,51.3
74,2020-07-01 02:30:17,10,1,1.966,0.065,0.142,0.177,53.66
75,2020-07-01 02:40:00,10,2,2.004,0.082,0.186,0.127,52.24
76,2020-07-01 02:40:02,10,4,1.313,0.078,0.109,0.123,55.95
77,2020-07-01 02:40:06,10,5,1.965,0.039,0.222,0.207,58.58
78,2020-07-01 02:40:13,10,3,1.829,0.068,0.157,0.12,57.99
79,2020-07-01 02:40:17,10,1,1.742,0.064,0.154,0.09,53.92
80,2020-07-01 02:50:01,10,4,1.438,0.051,0.143,0.18,51.93
81,2020-07-01 02:50:02,10,2,1.996,0.069,0.155,0.163,57.24
82,2020-07-01 02:50:10,10,5,1.98,0.111,0.208,0.113,55.93
83,2020-07-01 02:50:16,10,3,1.867,0.081,0.182,0.153,52.66
84,2020-07-01 02:50:18,10,1,1.654,0.051,0.186,0.147,58.66
85,2020-07-01 03:00:06,10,4,1.62,0.066,0.166,0.16,56.53
86,2020-07-01 03:00:07,10,2,1.995,0.091,0.183,0.203,51.6
87,2020-07-01 03:00:11,10,5,1.966,0.106,0.182,0.163,56.03
88,2020-07-01 03:00:19,10,3,1.144,0.1,0.159,0.163,59.53
89,2020-07-01 03:00:20,10,1,1.864,0.086,0.145,0.113,52.62
90,2020-07-01 03:10:03,10,4,1.886,0.056,0.121,0.177,54.3
91,2020-07-01 03:10:09,10,2,2.298,0.107,0.188,0.193,52.76
92,2020-07-01 03:10:14,10,5,1.43,0.055,0.151,0.133,60.68
93,2020-07-01 03:10:20,10,3,1.903,0.06,0.148,0.197,56.27
94,2020-07-01 03:10:25,10,1,1.949,0.041,0.13,0.11,51.59
95,2020-07-01 03:20:04,10,4,1.864,0.112,0.195,0.13,58.52
96,2020-07-01 03:20:14,10,2,2.027,0.113,0.197,0.127,59.77
97,2020-07-01 03:20:16,10,5,1.995,0.07,0.161,0.09,55.18
98,2020-07-01 03:20:23,10,1,1.91,0.04,0.178,0.157,52.65
99,2020-07-01 03:20:25,10,3,1.757,0.073,0.196,0.153,56.68
100,2020-07-01 03:30:07,10,4,1.885,0.088,0.144,0.183,53.71
101,2020-07-01 03:30:13,10,5,1.895,0.077,0.172,0.157,55.1
102,2020-07-01 03:30:14,10,2,1.653,0.107,0.16,0.087,55.86
103,2020-07-01 03:30:21,10,1,1.484,0.078,0.196,0.163,56.06
104,2020-07-01 03:30:27,10,3,2.028,0.1,0.105,0.133,54.52
105,2020-07-01 03:40:03,10,4,1.72,0.069,0.103,0.157,51.41
106,2020-07-01 03:40:09,10,2,2.171,0.059,0.166,0.173,59.94
107,2020-07-01 03:40:15,10,5,1.411,0.053,0.146,0.107,54.09
108,2020-07-01 03:40:25,10,3,1.827,0.088,0.113,0.187,60.07
109,2020-07-01 03:40:26,10,1,1.891,0.061,0.139,0.193,57.45
110,2020-07-01 03:50:08,10,4,1.726,0.064,0.197,0.15,57.13
111,2020-07-01 03:50:12,10,2,1.428,0.119,0.184,0.13,59.6
112,2020-07-01 03:50:14,10,5,1.762,0.07,0.203,0.097,59.6
113,2020-07-01 03:50:28,10,3,2.191,0.091,0.14,0.107,60.82
114,2020-07-01 03:50:29,10,1,2.029,0.081,0.133,0.187,53.23
115,2020-07-01 04:00:03,10,4,2.036,0.063,0.156,0.127,54.2
116,2020-07-01 04:00:08,10,2,2.067,0.082,0.125,0.133,52.89
117,2020-07-01 04:00:16,10,5,1.591,0.046,0.19,0.12,54.81
118,2020-07-01 04:00:29,10,3,1.706,0.048,0.207,0.133,56.86
119,2020-07-01 04:00:32,10,1,1.524,0.058,0.163,0.103,57.3
120,2020-07-01 04:10:06,10,4,1.86,0.066,0.218,0.093,55.42
121,2020-07-01 04:10:10,10,2,1.29,0.084,0.152,0.14,58.09
122,2020-07-01 04:10:15,10,5,1.954,0.093,0.208,0.17,56.23
123,2020-07-01 04:10:28,10,1,1.584,0.094,0.115,0.207,57.62
124,2020-07-01 04:10:34,10,3,1.66,0.072,0.131,0.157,54.26
125,2020-07-01 04:20:08,10,4,1.357,0.058,0.138,0.193,59.26
126,2020-07-01 04:20:08,10,2,1.662,0.096,0.208,0.14,61.3
127,2020-07-01 04:20:16,10,5,1.374,0.066,0.146,0.173,56.56
128,2020-07-01 04:20:29,10,1,1.05,0.073,0.201,0.113,54.7
129,2020-07-01 04:20:36,10,3,1.665,0.061,0.124,0.093,61.6
130,2020-07-01 04:30:05,10,4,1.935,0.073,0.146,0.193,60.12
131,2020-07-01 04:30:12,10,2,1.885,0.094,0.116,0.15,60.91
132,2020-07-01 04:30:12,10,5,1.537,0.12,0.122,0.16,60.84
133,2020-07-01 04:30:34,10,1,1.608,0.106,0.118,0.14,58.19
134,2020-07-01 04:30:38,10,3,1.571,0.099,0.178,0.163,57.57
135,2020-07-01 04:40:07,10,2,1.112,0.071,0.195,0.17,54.93
136,2020-07-01 04:40:09,10,5,1.532,0.076,0.144,0.12,60.72
137,2020-07-01 04:40:10,10,4,1.965,0.041,0.127,0.14,58.99
138,2020-07-01 04:40:37,10,3,1.336,0.052,0.118,0.127,57.67
139,2020-07-01 04:40:38,10,1,2.167,0.082,0.161,0.15,51.92
140,2020-07-01 04:50:02,10,2,1.675,0.052,0.208,0.08,60.37
141,2020-07-01 04:50:09,10,5,1.319,0.073,0.15,0.177,52.08
142,2020-07-01 04:50:14,10,4,1.303,0.054,0.117,0.21,56.53
143,2020-07-01 04:50:35,10,3,1.58,0.033,0.145,0.16,56.95
144,2020-07-01 04:50:39,10,1,1.849,0.078,0.199,0.173,61.77
145,2020-07-01 05:00:05,10,2,1.3,0.044,0.188,0.157,58.17
146,2020-07-01 05:00:08,10,5,1.618,0.051,0.123,0.143,59.19
147,2020-07-01 05:00:10,10,4,1.748,0.077,0.129,0.113,59.42
148,2020-07-01 05:00:31,10,3,1.877,0.085,0.118,0.15,57.87
149,2020-07-01 05:00:39,10,1,1.567,0.06,0.149,0.19,58.47
150,2020-07-01 05:10:02,10,2,1.863,0.081,0.164,0.117,58.99
151,2020-07-01 05:10:05,10,5,1.441,0.07,0.215,0.13,56.25
152,2020-07-01 05:10:10,10,4,1.939,0.043,0.225,0.177,59.47
153,2020-07-01 05:10:32,10,3,1.851,0.076,0.181,0.143,53.07
154,2020-07-01 05:10:43,10,1,1.746,0.079,0.126,0.147,58.26
155,2020-07-01 05:19:59,10,2,1.839,0.098,0.176,0.137,56.58
156,2020-07-01 05:20:00,10,5,1.326,0.077,0.183,0.16,54.15
157,2020-07-01 05:20:12,10,4,1.751,0.096,0.21,0.11,60.98
158,2020-07-01 05:20:33,10,3,1.489,0.101,0.183,0.173,52.6
159,2020-07-01 05:20:45,10,1,1.857,0.055,0.12,0.153,51.18
160,2020-07-01 05:30:00,10,2,1.334,0.04,0.132,0.083,52.78
161,2020-07-01 05:30:04,10,5,2.142,0.054,0.173,0.133,53.5
162,2020-07-01 05:30:07,10,4,1.524,0.072,0.183,0.203,58.75
163,2020-07-01 05:30:31,10,3,1.166,0.112,0.207,0.157,61.14
164,2020-07-01 05:30:50,10,1,1.837,0.087,0.118,0.177,54.24
165,2020-07-01 05:40:03,10,5,1.329,0.051,0.202,0.133,60.7
166,2020-07-01 05:40:04,10,2,1.577,0.062,0.149,0.127,60.18
167,2020-07-01 05:40:11,10,4,1.96,0.064,0.154,0.157,53.98
168,2020-07-01 05:40:28,10,3,1.788,0.092,0.147,0.08,53.32
169,2020-07-01 05:40:45,10,1,1.811,0.092,0.217,0.087,58.45
170,2020-07-01 05:50:03,10,5,1.995,0.077,0.102,0.137,53.07
171,2020-07-01 05:50:04,10,2,2.131,0.04,0.14,0.14,52.73
172,2020-07-01 05:50:08,10,4,1.917,0.073,0.14,0.137,51.37
173,2020-07-01 05:50:33,10,3,1.365,0.074,0.14,0.163,53.05
174,2020-07-01 05:50:42,10,1,1.809,0.082,0.153,0.137,51.38
175,2020-07-01 06:00:03,10,2,1.277,0.107,0.207,0.167,60.25
176,2020-07-01 06:00:03,10,5,1.869,0.038,0.206,0.163,58.39
177,2020-07-01 06:00:04,10,4,1.533,0.083,0.162,0.153,61.1
178,2020-07-01 06:00:28,10,3,1.879,0.07,0.182,0.133,56.69
179,2020-07-01 06:00:42,10,1,1.403,0.052,0.203,0.207,54.21
180,2020-07-01 06:09:59,10,2,1.903,0.084,0.161,0.147,61.14
181,2020-07-01 06:09:59,10,4,1.633,0.053,0.192,0.11,60.57
182,2020-07-01 06:10:04,10,5,1.705,0.064,0.13,0.12,59.33
183,2020-07-01 06:10:27,10,3,1.487,0.079,0.189,0.173,55.58
184,2020-07-01 06:10:39,10,1,1.321,0.102,0.138,0.187,51.91
185,2020-07-01 06:20:01,10,2,1.624,0.051,0.148,0.187,55.25
186,2020-07-01 06:20:02,10,4,1.474,0.067,0.127,0.177,58.81
187,2020-07-01 06:20:04,10,5,1.639,0.071,0.165,0.133,59.25
188,2020-07-01 06:20:31,10,3,2.157,0.089,0.209,0.18,54.8
189,2020-07-01 06:20:40,10,1,1.109,0.065,0.204,0.153,58.96
190,2020-07-01 06:30:02,10,5,2.237,0.105,0.199,0.18,55.27
191,2020-07-01 06:30:03,10,2,1.909,0.074,0.184,0.143,55.58
192,2020-07-01 06:30:03,10,4,1.742,0.096,0.203,0.18,60.44
193,2020-07-01 06:30:27,10,3,2.059,0.065,0.141,0.127,61.31
194,2020-07-01 06:30:44,10,1,1.506,0.085,0.206,0.157,56.59
195,2020-07-01 06:40:04,10,4,1.928,0.085,0.19,0.157,59.33
196,2020-07-01 06:40:06,10,5,2.088,0.061,0.214,0.093,56.15
197,2020-07-01 06:40:07,10,2,1.816,0.105,0.183,0.147,52.52
198,2020-07-01 06:40:26,10,3,1.68,0.08,0.125,0.12,59.87
199,2020-07-01 06:40:42,10,1,2.136,0.075,0.123,0.177,57.42
200,2020-07-01 06:49:59,10,4,1.402,0.034,0.134,0.14,54.2
201,2020-07-01 06:50:10,10,2,1.384,0.059,0.135,0.127,51.24
202,2020-07-01 06:50:11,10,5,1.575,0.088,0.196,0.183,52.36
203,2020-07-01 06:50:26,10,3,1.995,0.069,0.205,0.21,56.89
204,2020-07-01 06:50:41,10,1,1.854,0.095,0.118,0.143,61.24
205,2020-07-01 07:00:00,10,4,1.956,0.084,0.198,0.12,55.62
206,2020-07-01 07:00:13,10,2,1.003,0.062,0.165,0.13,56.47
207,2020-07-01 07:00:14,10,5,1.273,0.064,0.21,0.143,57.9
208,2020-07-01 07:00:29,10,3,1.962,0.088,0.217,0.157,55.23
209,2020-07-01 07:00:45,10,1,1.773,0.095,0.216,0.13,53.45
210,2020-07-01 07:09:55,10,4,1.916,0.066,0.207,0.1,57.97
211,2020-07-01 07:10:10,10,5,1.873,0.12,0.14,0.11,52.51
212,2020-07-01 07:10:13,10,2,1.988,0.086,0.218,0.207,55.04
213,2020-07-01 07:10:27,10,3,2.251,0.089,0.12,0.097,56.69
214,2020-07-01 07:10:48,10,1,1.81,0.06,0.107,0.08,53.6
215,2020-07-01 07:20:00,10,4,1.103,0.118,0.122,0.087,54.7
216,2020-07-01 07:20:13,10,2,1.351,0.091,0.19,0.133,60.11
217,2020-07-01 07:20:14,10,5,1.488,0.064,0.216,0.16,55.57
218,2020-07-01 07:20:31,10,3,1.867,0.088,0.21,0.117,57.89
219,2020-07-01 07:20:48,10,1,1.435,0.09,0.13,0.087,57.99
220,2020-07-01 07:29:59,10,4,1.914,0.075,0.149,0.183,54.18
221,2020-07-01 07:30:10,10,5,1.453,0.071,0.15,0.21,52.6
222,2020-07-01 07:30:14,10,2,1.718,0.097,0.11,0.103,52.76
223,2020-07-01 07:30:29,10,3,1.07,0.064,0.167,0.17,53.94
224,2020-07-01 07:30:43,10,1,2.095,0.093,0.186,0.143,60.64
225,2020-07-01 07:39:54,10,4,1.752,0.053,0.172,0.167,55.32
226,2020-07-01 07:40:09,10,2,2.086,0.073,0.122,0.203,56.99
227,2020-07-01 07:40:10,10,5,1.926,0.046,0.169,0.15,59.58
228,2020-07-01 07:40:24,10,3,1.605,0.106,0.119,0.18,55.25
229,2020-07-01 07:40:39,10,1,1.782,0.064,0.153,0.073,58.59
230,2020-07-01 07:49:50,10,4,1.112,0.089,0.17,0.127,55.17
231,2020-07-01 07:50:04,10,2,1.808,0.102,0.132,0.163,57.83
232,2020-07-01 07:50:06,10,5,1.403,0.092,0.14,0.173,53.59
233,2020-07-01 07:50:29,10,3,1.673,0.094,0.162,0.12,58.69
234,2020-07-01 07:50:40,10,1,2.294,0.051,0.167,0.087,56.53
235,2020-07-01 07:59:49,10,4,1.615,0.081,0.174,0.21,52.3
236,2020-07-01 08:00:02,10,5,2.075,0.051,0.224,0.1,57.9
237,2020-07-01 08:00:07,10,2,1.739,0.071,0.157,0.16,57.3
238,2020-07-01 08:00:32,10,3,1.452,0.098,0.188,0.11,53.89
239,2020-07-01 08:00:39,10,1,2.274,0.071,0.229,0.137,58.49
240,2020-07-01 08:09:51,10,4,1.189,0.083,0.167,0.14,59.82
241,2020-07-01 08:09:58,10,5,1.665,0.062,0.186,0.197,56.54
242,2020-07-01 08:10:08,10,2,1.492,0.104,0.179,0.137,53.58
243,2020-07-01 08:10:31,10,3,1.629,0.077,0.195,0.127,59.33
244,2020-07-01 08:10:42,10,1,1.372,0.071,0.125,0.173,60.84
245,2020-07-01 08:19:46,10,4,1.344,0.117,0.166,0.153,58.63
246,2020-07-01 08:19:53,10,5,1.775,0.102,0.153,0.13,58.5
247,2020-07-01 08:20:03,10,2,1.633,0.071,0.205,0.08,61.29
248,2020-07-01 08:20:34,10,3,2.157,0.073,0.194,0.167,53.23
249,2020-07-01 08:20:44,10,1,1.562,0.084,0.2,0.123,56.16
250,2020-07-01 08:29:43,10,4,1.535,0.071,0.213,0.157,60.31
251,2020-07-01 08:29:52,10,5,1.416,0.043,0.185,0.113,57.44
252,2020-07-01 08:30:08,10,2,1.615,0.06,0.16,0.19,60.14
253,2020-07-01 08:30:31,10,3,1.591,0.113,0.206,0.12,55.3
254,2020-07-01 08:30:40,10,1,1.407,0.101,0.213,0.127,57.24
255,2020-07-01 08:39:47,10,4,1.509,0.057,0.19,0.133,56.12
256,2020-07-01 08:39:55,10,5,1.005,0.061,0.196,0.173,54.13
257,2020-07-01 08:40:07,10,2,1.967,0.065,0.166,0.12,57.83
258,2020-07-01 08:40:31,10,3,1.16,0.108,0.189,0.133,59.7
259,2020-07-01 08:40:44,10,1,1.582,0.09,0.12,0.193,58.8
260,2020-07-01 08:49:42,10,4,1.0,0.071,0.112,0.17,59.5
261,2020-07-01 08:49:52,10,5,2.204,0.056,0.184,0.187,53.21
262,2020-07-01 08:50:03,10,2,1.671,0.075,0.156,0.12,54.79
263,2020-07-01 08:50:28,10,3,1.473,0.086,0.209,0.197,59.13
264,2020-07-01 08:50:49,10,1,1.989,0.036,0.172,0.197,61.82
265,2020-07-01 08:59:37,10,4,1.715,0.075,0.183,0.15,57.99
266,2020-07-01 08:59:52,10,5,1.758,0.082,0.205,0.11,58.69
267,2020-07-01 09:00:04,10,2,1.951,0.095,0.149,0.13,55.62
268,2020-07-01 09:00:23,10,3,1.388,0.053,0.128,0.09,58.4
269,2020-07-01 09:00:52,10,1,1.509,0.062,0.134,0.193,56.33
270,2020-07-01 09:09:35,10,4,1.964,0.036,0.208,0.17,56.39
271,2020-07-01 09:09:57,10,5,2.137,0.117,0.15,0.18,57.94
272,2020-07-01 09:10:04,10,2,1.793,0.061,0.116,0.197,60.62
273,2020-07-01 09:10:20,10,3,1.543,0.12,0.116,0.133,59.83
274,2020-07-01 09:10:54,10,1,2.065,0.056,0.101,0.197,57.98
275,2020-07-01 09:19:40,10,4,2.087,0.073,0.123,0.193,57.03
276,2020-07-01 09:19:56,10,5,1.395,0.1,0.138,0.143,55.66
277,2020-07-01 09:20:00,10,2,2.089,0.066,0.163,0.177,52.69
278,2020-07-01 09:20:22,10,3,1.416,0.086,0.102,0.147,54.39
279,2020-07-01 09:20:54,10,1,2.254,0.089,0.124,0.203,55.5
280,2020-07-01 09:29:39,10,4,1.111,0.11,0.221,0.137,59.4
281,2020-07-01 09:29:53,10,5,1.129,0.07,0.144,0.143,51.84
282,2020-07-01 09:29:58,10,2,1.604,0.088,0.133,0.167,56.58
283,2020-07-01 09:30:21,10,3,1.586,0.099,0.172,0.073,53.3
284,2020-07-01 09:30:54,10,1,1.535,0.075,0.197,0.2,60.65
285,2020-07-01 09:39:37,10,4,1.371,0.097,0.128,0.153,59.59
286,2020-07-01 09:39:56,10,5,1.369,0.052,0.17,0.117,55.9
287,2020-07-01 09:39:57,10,2,1.303,0.085,0.194,0.143,61.09
288,2020-07-01 09:40:24,10,3,2.157,0.068,0.193,0.163,57.5
289,2020-07-01 09:40:50,10,1,1.947,0.077,0.118,0.153,56.75
290,2020-07-01 09:49:39,10,4,1.514,0.084,0.203,0.11,53.1
291,2020-07-01 09:49:57,10,5,1.288,0.049,0.197,0.167,52.07
292,2020-07-01 09:49:59,10,2,1.309,0.115,0.186,0.173,56.96
293,2020-07-01 09:50:24,10,3,1.357,0.076,0.143,0.113,54.5
294,2020-07-01 09:50:53,10,1,1.205,0.076,0.11,0.147,58.58
295,2020-07-01 09:59:39,10,4,1.744,0.077,0.226,0.127,52.82
296,2020-07-01 09:59:52,10,5,1.881,0.075,0.18,0.107,52.91
297,2020-07-01 09:59:58,10,2,1.484,0.108,0.218,0.197,58.78
298,2020-07-01 10:00:23,10,3,1.058,0.053,0.198,0.11,51.81
299,2020-07-01 10:00:54,10,1,1.983,0.084,0.18,0.127,60.9
300,2020-07-01 10:09:40,10,4,1.092,0.07,0.192,0.14,56.71
301,2020-07-01 10:09:54,10,2,1.62,0.07,0.167,0.147,56.66
302,2020-07-01 10:09:56,10,5,1.569,0.052,0.199,0.143,58.52
303,2020-07-01 10:10:28,10,3,1.275,0.074,0.133,0.143,57.86
304,2020-07-01 10:10:50,10,1,1.681,0.09,0.177,0.153,53.73
305,2020-07-01 10:19:42,10,4,1.394,0.081,0.151,0.217,56.85
306,2020-07-01 10:19:58,10,2,1.671,0.03,0.178,0.113,59.63
307,2020-07-01 10:20:01,10,5,2.162,0.104,0.117,0.107,58.01
308,2020-07-01 10:20:24,10,3,1.506,0.058,0.108,0.147,59.28
309,2020-07-01 10:20:51,10,1,2.045,0.084,0.108,0.13,51.85
310,2020-07-01 10:29:44,10,4,1.67,0.036,0.204,0.157,54.1
311,2020-07-01 10:29:55,10,2,1.308,0.089,0.196,0.217,53.48
312,2020-07-01 10:29:59,10,5,1.916,0.052,0.135,0.133,54.55
313,2020-07-01 10:30:24,10,3,1.375,0.085,0.205,0.107,57.93
314,2020-07-01 10:30:49,10,1,1.508,0.061,0.152,0.213,58.97
315,2020-07-01 10:39:40,10,4,1.906,0.034,0.144,0.123,59.71
316,2020-07-01 10:39:55,10,2,2.1,0.04,0.195,0.13,59.89
317,2020-07-01 10:39:58,10,5,2.159,0.055,0.122,0.19,55.98
318,2020-07-01 10:40:23,10,3,1.86,0.074,0.114,0.15,58.04
319,2020-07-01 10:40:54,10,1,1.615,0.074,0.192,0.133,58.4
320,2020-07-01 10:49:36,10,4,1.386,0.084,0.132,0.13,60.52
321,2020-07-01 10:49:53,10,5,1.149,0.043,0.164,0.127,53.3
322,2020-07-01 10:49:58,10,2,1.494,0.078,0.12,0.147,57.24
323,2020-07-01 10:50:26,10,3,1.961,0.043,0.183,0.113,52.93
324,2020-07-01 10:50:52,10,1,2.071,0.072,0.212,0.21,54.55
325,2020-07-01 10:59:38,10,4,1.697,0.081,0.186,0.093,57.23
326,2020-07-01 10:59:51,10,5,2.085,0.046,0.164,0.09,53.55
327,2020-07-01 10:59:53,10,2,2.099,0.095,0.188,0.103,56.15
328,2020-07-01 11:00:30,10,3,1.738,0.079,0.123,0.09,53.21
329,2020-07-01 11:00:49,10,1,1.744,0.036,0.175,0.15,54.85
330,2020-07-01 11:09:34,10,4,1.04,0.066,0.197,0.157,61.05
331,2020-07-01 11:09:54,10,5,1.865,0.075,0.168,0.163,60.46
332,2020-07-01 11:09:56,10,2,2.046,0.085,0.174,0.163,54.36
333,2020-07-01 11:10:29,10,3,1.606,0.056,0.228,0.143,53.28
334,2020-07-01 11:10:46,10,1,1.84,0.097,0.116,0.11,57.09
335,2020-07-01 11:19:30,10,4,1.415,0.109,0.161,0.187,57.04
336,2020-07-01 11:19:53,10,5,1.626,0.054,0.157,0.107,53.58
337,2020-07-01 11:19:54,10,2,1.409,0.089,0.16,0.143,59.51
338,2020-07-01 11:20:27,10,3,1.49,0.04,0.138,0.14,54.71
339,2020-07-01 11:20:44,10,1,1.158,0.089,0.168,0.147,52.65
340,2020-07-01 11:29:30,10,4,1.271,0.081,0.217,0.173,60.72
341,2020-07-01 11:29:50,10,5,1.525,0.104,0.188,0.08,59.04
342,2020-07-01 11:29:54,10,2,2.182,0.079,0.175,0.163,58.22
343,2020-07-01 11:30:31,10,3,1.465,0.05,0.138,0.103,54.48
344,2020-07-01 11:30:39,10,1,1.545,0.074,0.193,0.107,61.87
345,2020-07-01 11:39:35,10,4,1.625,0.042,0.104,0.143,54.19
346,2020-07-01 11:39:50,10,5,1.775,0.068,0.104,0.123,52.32
347,2020-07-01 11:39:52,10,2,1.948,0.048,0.154,0.187,54.37
348,2020-07-01 11:40:27,10,3,1.464,0.075,0.148,0.13,59.9
349,2020-07-01 11:40:36,10,1,2.088,0.105,0.121,0.127,60.86
350,2020-07-01 11:49:30,10,4,1.991,0.064,0.136,0.19,54.97
351,2020-07-01 11:49:49,10,5,1.751,0.065,0.101,0.157,60.7
352,2020-07-01 11:49:57,10,2,1.897,0.064,0.14,0.14,53.11
353,2020-07-01 11:50:30,10,3,1.947,0.076,0.204,0.09,58.51
354,2020-07-01 11:50:35,10,1,1.347,0.071,0.147,0.147,59.45
355,2020-07-01 11:59:32,10,4,1.382,0.078,0.114,0.177,52.9
356,2020-07-01 11:59:50,10,5,1.494,0.105,0.202,0.077,57.1
